business_name,category,city,address,phone,source,created_at
Copper Chimney,Restaurant,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Imperial Palace,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Sharada,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Cecil,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Sunbeam Geeta,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Vivako,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Rajendra Clinic,Clinic,Mumbai,"Wadala Sewri Cross Road, Wadala West, Wadala, Mumbai",,OpenStreetMap,2026-05-17 01:55:06
Jollyland,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Ghatla,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Jewel Of Chembur,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Maruthi Mahal,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Anita Mahal,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Regency,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Classic,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Atlantic,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Ajanta,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Royal Garden,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Ambassador,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Leela Kempinski,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Kumaria Presidency,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Samraj,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Sun N Sheel,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Tirupati,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Highway Inn,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Tunga International,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Babul,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Dolphin View,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Manisha Cottage,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Blue Ballerina,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Jay Prakash,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
The Resort,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Anil Thakur Guest House,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Rohan,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Home For Mental Deficient Childern,School,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Seaview,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Citizen Hotel,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Saint Anne'S Hospital,Hospital,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Dara'S Dhaba,Restaurant,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
National Centre For Training And Research Into Cerebral Palsy,Hospital,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Cafe Andora,Restaurant,Mumbai,"St. Dominic Street, Mumbai",,OpenStreetMap,2026-05-17 01:55:06
Tibbs Frankies,Restaurant,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Apostolic Carmel Convent (Girl'S School),School,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Al Medica,Pharmacy,Mumbai,"Chapel Road, Mumbai",,OpenStreetMap,2026-05-17 01:55:06
Good Luck Restaurant,Restaurant,Mumbai,"M Kahn Chowk, Mumbai",02226422250,OpenStreetMap,2026-05-17 01:55:06
A1 Bakery,Restaurant,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Wonton House,Restaurant,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Noble Plus,Pharmacy,Mumbai,"M Kahn Chowk, Mumbai",,OpenStreetMap,2026-05-17 01:55:06
Bank Of India,Bank,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Jai Hind,Restaurant,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Heera Panna,Supermarket,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Great Punjab Hotel,Hotel,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
Bademiya Seekh Kebab Stall,Restaurant,Mumbai,"Tullock Road, Mumbai",+91-2265-5657,OpenStreetMap,2026-05-17 01:55:06
Cafe Coffee Day,Restaurant,Mumbai,Mumbai,,OpenStreetMap,2026-05-17 01:55:06
